Gene_id,E1_24,E2_24,E3_24,E1_48,E2_48,E3_48,C1,C2,C3
sp|Q3UDR8|YIPF3_MOUSE,182130.0,574990.0,764810.0,234030.0,1251700.0,600370.0,293810.0,939990.0,1516600.0
sp|Q3UEB3|PUF60_MOUSE,341810.0,529800.0,276080.0,239810.0,200560.0,166940.0,292470.0,221660.0,165020.0
sp|Q3UHI0|CCSE2_MOUSE,0.0,0.0,0.0,0.0,0.0,20544.0,74191.0,0.0,0.0
sp|Q3UHK8|TNR6A_MOUSE,638540.0,4409500.0,3691800.0,1856100.0,3693200.0,1916200.0,3930000.0,3120800.0,3302100.0
tr|D6RE33|D6RE33_MOUSE,42637.0,186300.0,139700.0,75898.0,64037.0,124650.0,174450.0,134650.0,216010.0
tr|A0A286YDQ6|A0A286YDQ6_MOUSE,181520.0,285910.0,177180.0,152890.0,329200.0,0.0,327270.0,0.0,222900.0
sp|Q3ULD5|MCCB_MOUSE,2385100.0,56896000.0,25468000.0,6178900.0,86214000.0,57607000.0,18072000.0,103940000.0,68201000.0
sp|Q3UN02|LCLT1_MOUSE,3894600.0,6602400.0,5022800.0,3969600.0,6692000.0,4233900.0,5641200.0,7188200.0,7086200.0
tr|D3Z5I1|D3Z5I1_MOUSE,74751.0,163020.0,23417.0,47316.0,37600.0,28998.0,18565.0,27764.0,15102.0
sp|Q3UPL0|SC31A_MOUSE,1930000.0,5644600.0,4104500.0,3035400.0,6512900.0,4066400.0,4727300.0,5554200.0,5844500.0
sp|Q3UQN2|FCHO2_MOUSE,0.0,0.0,0.0,119260.0,0.0,0.0,0.0,0.0,0.0
sp|Q3V009|TMED1_MOUSE,2507000.0,9163800.0,16165000.0,7631400.0,10190000.0,7143200.0,15763000.0,8497600.0,13172000.0
sp|Q3V300|KIF22_MOUSE,73707.0,66794.0,310410.0,137500.0,0.0,0.0,99786.0,36574.0,25287.0
sp|Q3V3R1|C1TM_MOUSE,2225100.0,6236500.0,3767400.0,2240700.0,5833400.0,3977700.0,3375600.0,6672400.0,5171100.0
sp|Q4VBD2|TAPT1_MOUSE,234690.0,0.0,577370.0,452380.0,527910.0,415940.0,88549.0,66207.0,690400.0
tr|Q3U741|Q3U741_MOUSE,97883.0,250780.0,320020.0,62581.0,246620.0,277750.0,104510.0,189370.0,202630.0
sp|Q501J7|PHAR4_MOUSE,26104.0,181480.0,30765.0,216080.0,124890.0,0.0,0.0,0.0,0.0
sp|Q569L8|CENPJ_MOUSE,0.0,0.0,17133.0,0.0,30277.0,21100.0,27031.0,0.0,0.0
sp|Q56A10|ZN608_MOUSE,0.0,0.0,61975.0,84443.0,0.0,6401.9,158490.0,0.0,86582.0
sp|Q571K4|TAB3_MOUSE,109420.0,0.0,65372.0,60666.0,45484.0,0.0,0.0,0.0,0.0
tr|A0A087WP47|A0A087WP47_MOUSE,103950.0,275440.0,238130.0,183410.0,91506.0,96888.0,276130.0,121160.0,120700.0
sp|Q5EBG6|HSPB6_MOUSE,41957.0,830090.0,715610.0,319460.0,1882700.0,2072900.0,417230.0,1725300.0,3137100.0
sp|Q5F285|TM256_MOUSE,1832100.0,6193800.0,6597800.0,4501600.0,3754500.0,2181000.0,5855600.0,0.0,3730900.0
sp|Q5F2E7|NUFP2_MOUSE,234500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sp|Q5F2E8|TAOK1_MOUSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1492400.0,699150.0
sp|Q5FWK3|RHG01_MOUSE,60349.0,368090.0,149060.0,116450.0,117110.0,0.0,54487.0,48591.0,25110.0
tr|E9QK89|E9QK89_MOUSE,0.0,0.0,0.0,0.0,47395.0,0.0,0.0,514040.0,0.0
sp|Q5RJH6|SMG7_MOUSE,337610.0,236840.0,371580.0,151320.0,160350.0,65071.0,311150.0,164900.0,115080.0
sp|Q5SF07|IF2B2_MOUSE,1641700.0,2561400.0,2657600.0,1890200.0,4327600.0,2138200.0,3129400.0,4364900.0,3849300.0
sp|Q5SNZ0|GRDN_MOUSE,125490.0,372120.0,61861.0,252260.0,231590.0,31049.0,156620.0,10848.0,74309.0
sp|Q5SS80|DHR13_MOUSE,123140.0,815520.0,880230.0,630040.0,1392400.0,524860.0,895970.0,726700.0,868420.0
sp|Q5SSZ5|TENS3_MOUSE,558180.0,406920.0,151810.0,519440.0,584270.0,59894.0,424470.0,262470.0,300510.0
sp|Q5SUF2|LC7L3_MOUSE,316050.0,681850.0,371900.0,386940.0,320690.0,242130.0,368790.0,186380.0,213000.0
sp|Q5SWU9|ACACA_MOUSE,35379000.0,554180000.0,333730000.0,104580000.0,757080000.0,496940000.0,227790000.0,663830000.0,635620000.0
sp|Q5SYH2|TM199_MOUSE,160190.0,317940.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sp|Q5XJY5|COPD_MOUSE,1023400.0,3910100.0,1515900.0,1257700.0,2302500.0,1237100.0,1507200.0,1865900.0,2240400.0
sp|Q5Y5T1|ZDH20_MOUSE,971960.0,3340900.0,700360.0,2039100.0,3151800.0,203130.0,0.0,0.0,0.0
sp|Q60596|XRCC1_MOUSE,0.0,3176700.0,16180.0,0.0,780670.0,355410.0,21476.0,1386800.0,1069900.0
sp|Q60597|ODO1_MOUSE,106850.0,51875.0,116350.0,99631.0,162730.0,27281.0,77254.0,229800.0,191190.0
sp|Q60598|SRC8_MOUSE,551530.0,981280.0,437180.0,536140.0,684910.0,345710.0,448190.0,104190.0,417480.0
sp|Q60605|MYL6_MOUSE,506140.0,3526900.0,818370.0,729350.0,2557900.0,4018400.0,0.0,3473200.0,1524600.0
tr|Q5SS83|Q5SS83_MOUSE,211290.0,815460.0,94350.0,553590.0,781180.0,0.0,0.0,0.0,0.0
tr|F6ZV59|F6ZV59_MOUSE,399480.0,1302700.0,458720.0,255550.0,623990.0,823520.0,650840.0,596950.0,528600.0
sp|Q60715|P4HA1_MOUSE,61820.0,324610.0,75484.0,0.0,1019500.0,1011600.0,125750.0,843650.0,1914400.0
tr|Q5SX75|Q5SX75_MOUSE,0.0,0.0,0.0,0.0,0.0,30684.0,0.0,0.0,177630.0
sp|Q60737|CSK21_MOUSE,277720.0,1853700.0,908050.0,825630.0,818740.0,905410.0,677270.0,1411800.0,1445400.0
sp|Q60749|KHDR1_MOUSE,636950.0,2892100.0,1866500.0,706590.0,1390800.0,1317100.0,908870.0,1545800.0,0.0
sp|Q60760|GRB10_MOUSE,2675800.0,5627300.0,3529400.0,3448700.0,1353100.0,1104400.0,3892000.0,1249900.0,935880.0
tr|F8WHG5|F8WHG5_MOUSE,0.0,0.0,0.0,100950.0,205830.0,60231.0,66384.0,190350.0,133020.0
sp|Q60838|DVL2_MOUSE,1771500.0,2879000.0,3205300.0,2744000.0,1780000.0,1149300.0,3042300.0,1800300.0,1196700.0
sp|Q60848|HELLS_MOUSE,452650.0,1096900.0,952790.0,755940.0,1186800.0,723640.0,732530.0,842970.0,957280.0
sp|Q60854|SPB6_MOUSE,42758.0,1895300.0,0.0,61897.0,92925.0,0.0,0.0,0.0,142030.0
sp|Q60855|RIPK1_MOUSE,43296.0,75119.0,81949.0,0.0,67223.0,160770.0,284740.0,161080.0,143090.0
tr|H3BJU7|H3BJU7_MOUSE,8512500.0,16138000.0,15053000.0,13983000.0,15934000.0,11436000.0,17429000.0,14477000.0,14802000.0
tr|G3UX26|G3UX26_MOUSE,549250.0,3568700.0,2348200.0,1318000.0,443300.0,891060.0,3163200.0,1166300.0,1543800.0
sp|Q60931|VDAC3_MOUSE,6274200.0,12414000.0,12912000.0,9904300.0,3907900.0,3356800.0,14710000.0,3752000.0,5142000.0
sp|Q60932|VDAC1_MOUSE,1382200.0,1993800.0,2898300.0,2593600.0,1057600.0,1271200.0,6381500.0,1480600.0,2110400.0
sp|Q60972|RBBP4_MOUSE,97364.0,0.0,288110.0,270820.0,0.0,534440.0,245720.0,325420.0,258890.0
tr|A2AFJ1|A2AFJ1_MOUSE,4142800.0,5477300.0,4764100.0,4729400.0,7660800.0,3726400.0,5577400.0,5939500.0,4770400.0
sp|Q60987|FOXG1_MOUSE,0.0,374040.0,297240.0,313970.0,0.0,0.0,124870.0,300300.0,544300.0
sp|Q60988|STIL_MOUSE,0.0,40631.0,39427.0,0.0,0.0,0.0,56154.0,33430.0,31535.0
sp|Q61024|ASNS_MOUSE,93211.0,1394200.0,0.0,107630.0,234290.0,469950.0,45271.0,0.0,293840.0
sp|Q61026|NCOA2_MOUSE,508710.0,1850200.0,2086200.0,1272000.0,2133800.0,860650.0,1818600.0,1872100.0,2312600.0
sp|Q61029|LAP2B_MOUSE,1680400.0,55616000.0,1272600.0,2660300.0,60900000.0,22965000.0,121030.0,82737000.0,39230000.0
sp|Q61033|LAP2A_MOUSE,877190.0,221210000.0,6368000.0,1115000.0,153790000.0,42425000.0,3591700.0,264540000.0,94632000.0
sp|Q61102|ABCB7_MOUSE,604310.0,1173500.0,860090.0,1109600.0,2434100.0,1247400.0,1338800.0,1058800.0,1761300.0
tr|F8VPL2|F8VPL2_MOUSE,326210.0,118870.0,353290.0,303800.0,338680.0,132230.0,382960.0,265810.0,234790.0
sp|Q61235|SNTB2_MOUSE,192710.0,557710.0,217090.0,353170.0,575030.0,211950.0,197360.0,193160.0,295610.0
sp|Q61316|HSP74_MOUSE,0.0,209920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tr|E9QMD3|E9QMD3_MOUSE,0.0,0.0,0.0,6658.4,10779.0,13157.0,8141.7,27103.0,66159.0
sp|Q61398|PCOC1_MOUSE,3179300.0,18806000.0,7956300.0,7889100.0,18764000.0,4787300.0,12819000.0,14314000.0,12249000.0
sp|Q61553|FSCN1_MOUSE,243440.0,88654.0,103070.0,155500.0,229630.0,186200.0,125770.0,211400.0,181100.0
sp|Q61584|FXR1_MOUSE,6448200.0,7759500.0,6737800.0,8089400.0,6255600.0,5288200.0,9176600.0,5609800.0,6907600.0
sp|Q61598|GDIB_MOUSE,0.0,287790.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sp|Q61602|GLI3_MOUSE,887690.0,5227700.0,4358300.0,2079400.0,4758300.0,2092800.0,5752900.0,4046800.0,4562800.0
sp|Q61655|DD19A_MOUSE,1285900.0,1538000.0,2817200.0,1689700.0,1865400.0,740420.0,1578300.0,1422600.0,1287800.0
sp|Q61656|DDX5_MOUSE,4065900.0,3943700.0,3009000.0,2596000.0,2400500.0,1830600.0,3467600.0,2498900.0,1876500.0
tr|E9Q0U7|E9Q0U7_MOUSE,248330.0,1063100.0,342600.0,307710.0,196660.0,284830.0,343140.0,503190.0,566310.0
sp|Q61753|SERA_MOUSE,1781200.0,14654000.0,2054900.0,1052900.0,5149000.0,2870900.0,1919200.0,3387700.0,3578400.0
sp|Q61768|KINH_MOUSE,50340.0,903340.0,118710.0,468720.0,1951100.0,102440.0,0.0,0.0,0.0
sp|Q61846|MELK_MOUSE,282180.0,195060.0,162580.0,265450.0,237040.0,0.0,170620.0,152690.0,69813.0
sp|Q61879|MYH10_MOUSE,0.0,234870.0,12229.0,0.0,35391.0,1331700.0,0.0,1335000.0,205100.0
sp|Q61881|MCM7_MOUSE,9947700.0,17400000.0,13980000.0,12884000.0,15586000.0,7166000.0,14763000.0,14285000.0,12213000.0
tr|Q5SQB0|Q5SQB0_MOUSE,28851.0,7912600.0,3110900.0,388600.0,3393700.0,1476800.0,782030.0,3652800.0,1021600.0
sp|Q61990|PCBP2_MOUSE,19111000.0,29116000.0,33239000.0,25804000.0,45830000.0,12157000.0,38905000.0,30739000.0,27833000.0
sp|Q62093|SRSF2_MOUSE,0.0,1413700.0,458870.0,204470.0,2400200.0,1645900.0,1397600.0,2166600.0,2932500.0
sp|Q62130|PTN14_MOUSE,849100.0,2202300.0,2281400.0,1520800.0,2810100.0,1449100.0,2702900.0,1721800.0,2222400.0
tr|G5E8J4|G5E8J4_MOUSE,1160400.0,2132800.0,2102600.0,1899200.0,2514300.0,1531700.0,2246300.0,2461600.0,2183100.0
sp|Q62167|DDX3X_MOUSE,1264900.0,978870.0,610150.0,258710.0,321750.0,337310.0,515910.0,338910.0,275030.0
sp|Q62186|SSRD_MOUSE,14092000.0,42424000.0,29569000.0,24468000.0,47681000.0,34125000.0,41553000.0,45108000.0,53615000.0
tr|Q3TT92|Q3TT92_MOUSE,329570.0,206640.0,66307.0,53224.0,95422.0,114650.0,219300.0,62593.0,180820.0
sp|Q62210|BIRC2_MOUSE,73186.0,329960.0,590710.0,214600.0,85841.0,97351.0,530880.0,81303.0,311750.0
sp|Q62261|SPTB2_MOUSE,8312.9,31574.0,6721.0,97173.0,32118.0,35597.0,0.0,0.0,5066.7
sp|Q62311|TAF6_MOUSE,0.0,0.0,0.0,0.0,64742.0,62706.0,9585.1,62521.0,86732.0
