Gene_id,E1_24,E2_24,E3_24,E1_48,E2_48,E3_48,C1,C2,C3
sp|Q8N9S3|AHSA2_MOUSE,25.057013037398367,24.851528314952215,25.0189041083369,25.169705764232813,24.877737960284062,24.553444618271563,25.30337134526014,24.75791366676653,25.041263434150103
sp|Q8QZT1|THIL_MOUSE,23.983723586157904,23.063273280283966,22.460164891358524,23.63256306349244,23.386534042958885,23.174079617835083,23.786162720985768,23.816166490314238,23.38981931796075
sp|Q8QZY1|EIF3L_MOUSE,21.89726051854888,21.45161359336399,-inf,-inf,-inf,-inf,-inf,-inf,-inf
tr|D3YYK8|D3YYK8_MOUSE,-inf,-inf,-inf,22.182954402540172,-inf,-inf,-inf,-inf,-inf
tr|H3BJ52|H3BJ52_MOUSE,23.01877679486525,22.507340746277876,22.53670728219607,22.911081795664256,22.00151127962758,22.728249377691082,-inf,-inf,22.640020698247437
tr|G5E924|G5E924_MOUSE,-inf,22.42046913662223,22.781787918041168,21.922196744802786,-inf,22.972005155531793,22.388873925541606,-inf,-inf
tr|D3YTR6|D3YTR6_MOUSE,-inf,-inf,-inf,21.80573600128168,-inf,-inf,-inf,21.879384317331755,-inf
sp|Q8R0G9|NU133_MOUSE,-inf,-inf,24.046435286611906,-inf,-inf,-inf,-inf,-inf,-inf
sp|Q8R0S2|IQEC1_MOUSE,-inf,-inf,-inf,-inf,-inf,-inf,21.339193244890783,-inf,21.280763974864396
tr|D6REF7|D6REF7_MOUSE,22.138368055971235,21.812410794293914,22.023877506785134,-inf,-inf,21.711752663298174,21.498481117181115,-inf,21.751318489600962
tr|A0A0U1RNK7|A0A0U1RNK7_MOUSE,-inf,22.62470979615446,-inf,22.827627243948385,22.740591930518224,-inf,-inf,-inf,-inf
sp|Q8R1B4|EIF3C_MOUSE,21.89256208581433,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
sp|Q8R1Q8|DC1L1_MOUSE,-inf,21.527644993034688,21.569688757408205,21.581459895883018,21.447634159328523,21.88345471902385,21.352993865381727,21.224526964272815,21.898478870734433
tr|D3Z3F8|D3Z3F8_MOUSE,-inf,22.116071043890436,-inf,-inf,22.490301513830932,21.840227786316703,-inf,22.000411323859435,21.63524516857308
sp|Q8R2N2|UTP4_MOUSE,-inf,21.353478542419005,21.56704437633725,-inf,-inf,-inf,-inf,-inf,-inf
sp|Q8R2V2|IFFO2_MOUSE,-inf,22.698418114804113,-inf,22.885020070690434,22.508695230631226,22.266422838655807,22.95997859196869,22.435375230234577,22.646517401111392
sp|Q8R323|RFC3_MOUSE,-inf,-inf,-inf,-inf,-inf,-inf,-inf,21.333362845122142,-inf
sp|Q8R349|CDC16_MOUSE,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,22.988984181751416
sp|Q8R3C0|MCMBP_MOUSE,21.872825153177452,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
sp|Q8R502|LRC8C_MOUSE,-inf,20.679772155208873,-inf,-inf,20.286246397828627,-inf,-inf,-inf,-inf
sp|Q8R570|SNP47_MOUSE,27.075920907986788,27.215305178949013,27.572319625545006,27.53118391794578,27.41723689888723,27.05123599623904,27.69105733531176,27.339940772896853,27.573475804953453
sp|Q8R5J9|PRAF3_MOUSE,21.771568454995045,-inf,-inf,22.16760190133001,-inf,-inf,21.562905713451656,-inf,-inf
sp|Q8VBT0|TMX1_MOUSE,-inf,-inf,-inf,-inf,21.42352425365367,-inf,-inf,-inf,-inf
