Entry	Entry name	Gene names
Q9CRA4	MSMO1_MOUSE	Msmo1 Sc4mol
Q8C2Q7	Q8C2Q7_MOUSE	Hnrnph1 Hnrph1
Q8VCM8	NCLN_MOUSE	Ncln
Q4FE56	Q4FE56_MOUSE	Usp9x
G3X9J0	SI1L3_MOUSE	Sipa1l3 Spal3
A0A0R4J1Y7	A0A0R4J1Y7_MOUSE	Txndc5
F6ZEW4	F6ZEW4_MOUSE	Cse1l
Q99M28	RNPS1_MOUSE	Rnps1
O09172	GSH0_MOUSE	Gclm Glclr
Q8CD92	TTC27_MOUSE	Ttc27
P41105	RL28_MOUSE	Rpl28
P97770	THUM3_MOUSE	Thumpd3
Q3TWV4	Q3TWV4_MOUSE	Ap2m1
Q9R002	IFI2_MOUSE	Ifi202 Ifi202a Ifi202b
Q6ZQ38	CAND1_MOUSE	Cand1 D10Ertd516e Kiaa0829
Q3V3R1	C1TM_MOUSE	Mthfd1l Fthfsdc1
P09405	NUCL_MOUSE	Ncl Nuc
P62334	PRS10_MOUSE	Psmc6 Sug2
Q9D0D3	PAPD1_MOUSE	Mtpap Papd1
A0A286YDS5	A0A286YDS5_MOUSE	Tmed9
Q8BHI7	ELOV5_MOUSE	Elovl5
A0A2I3BQE0	A0A2I3BQE0_MOUSE	Stk3
Q8R3C0	MCMBP_MOUSE	Mcmbp
Q5ND52	MRM3_MOUSE	Mrm3 Rnmtl1
O70503	DHB12_MOUSE	Hsd17b12 Kik1
Q62130	PTN14_MOUSE	Ptpn14
Q9QWT9	KIFC1_MOUSE	Kifc1 Kifc4 Kifc5a Kifc5b
P47758	SRPRB_MOUSE	Srprb
Q62426	CYTB_MOUSE	Cstb Cst6 Stfb
Q3U9G9	LBR_MOUSE	Lbr
P27659	RL3_MOUSE	Rpl3
P07901	HS90A_MOUSE	Hsp90aa1 Hsp86 Hsp86-1 Hspca
E9PXY1	E9PXY1_MOUSE	Cul4b
Q8CI94	PYGB_MOUSE	Pygb
Q3U741	Q3U741_MOUSE	Ddx17
Q9D1M7	FKB11_MOUSE	Fkbp11
P35979	RL12_MOUSE	Rpl12
P14869	RLA0_MOUSE	Rplp0 Arbp
Q6A0A9	F120A_MOUSE	FAM120A Kiaa0183 Ossa
P29341	PABP1_MOUSE	Pabpc1 Pabp1
Q99LB0	TDIF1_MOUSE	Dnttip1 Tdif1
Q0PD20	Q0PD20_MOUSE	Rab34
P31938	MP2K1_MOUSE	Map2k1 Mek1 Prkmk1
Q8BJM7	TYW1_MOUSE	Tyw1 Rsafd1
Q63850	NUP62_MOUSE	Nup62
P00848	ATP6_MOUSE	Mtatp6 Atp6 Atpase6 mt-Atp6
Q9ES46	PARVB_MOUSE	Parvb
Q91YS7	Q91YS7_MOUSE	Map2k2
Q921J2	RHEB_MOUSE	Rheb
Q8VDF2	UHRF1_MOUSE	Uhrf1 Np95
H3BJ52	H3BJ52_MOUSE	Zwilch
P61021	RAB5B_MOUSE	Rab5b
P16045	LEG1_MOUSE	Lgals1 Gbp
P60335	PCBP1_MOUSE	Pcbp1
Q80U93	NU214_MOUSE	Nup214 Kiaa0023
E9PW03	E9PW03_MOUSE	Gpaa1
P68181	KAPCB_MOUSE	Prkacb Pkacb
A0A0R4J291	A0A0R4J291_MOUSE	Fastkd5
Q9JKR6	HYOU1_MOUSE	Hyou1 Grp170
Q8CEC0	NUP88_MOUSE	Nup88
O35382	EXOC4_MOUSE	Exoc4 Sec8 Sec8l1
Q9CZM2	RL15_MOUSE	Rpl15
Q8BG67	EFR3A_MOUSE	Efr3a Kiaa0143
P47740	AL3A2_MOUSE	Aldh3a2 Ahd-3 Ahd3 Aldh3 Aldh4
P80316	TCPE_MOUSE	Cct5 Ccte Kiaa0098
Q8BJL1	FBX30_MOUSE	Fbxo30
Q5FWI3	CEIP2_MOUSE	Cemip2 Kiaa1412 Tmem2
P53994	RAB2A_MOUSE	Rab2a Rab2
Q8K0C9	GMDS_MOUSE	Gmds
Q9D2G2	ODO2_MOUSE	Dlst
Q8BIE6	FRM4A_MOUSE	Frmd4a Frmd4 Kiaa1294
B9EKJ3	B9EKJ3_MOUSE	Mon2
Q99JY0	ECHB_MOUSE	Hadhb
O70551	SRPK1_MOUSE	Srpk1
P25206	MCM3_MOUSE	Mcm3 Mcmd Mcmd3
Q8BMS1	ECHA_MOUSE	Hadha
E9Q605	E9Q605_MOUSE	Chuk
A0A338P7C0	A0A338P7C0_MOUSE	Psmb1
Q9CX86	ROA0_MOUSE	Hnrnpa0 Hnrpa0
Q9QWV9	CCNT1_MOUSE	Ccnt1
E9PVA8	GCN1_MOUSE	Gcn1 Gcn1l1
Q8BGQ4	POMT2_MOUSE	Pomt2
Q9R059	FHL3_MOUSE	Fhl3
O88895	HDAC3_MOUSE	Hdac3
A0A5F8MPZ7	A0A5F8MPZ7_MOUSE	Alg13
Q91WQ3	SYYC_MOUSE	Yars1 Yars
Q9WUU9	GANP_MOUSE	Mcm3ap Ganp Map80
Q9DBY8	NVL_MOUSE	Nvl
A2BG76	A2BG76_MOUSE	Nfib RP24-231F12.1-007
P52927	HMGA2_MOUSE	Hmga2 Hmgic
A0A0R4J0H8	A0A0R4J0H8_MOUSE	Fndc3b
V9GWX3	V9GWX3_MOUSE	Rpap1
A0A338P7E9	A0A338P7E9_MOUSE	Riok2
Q8BH04	PCKGM_MOUSE	Pck2
A0A0H2UH17	A0A0H2UH17_MOUSE	Ubap2l
Q6PHZ2	KCC2D_MOUSE	Camk2d Kiaa4163
E9QNH6	E9QNH6_MOUSE	Myo1b
P27546	MAP4_MOUSE	Map4 Mtap4
Q3TDN2	FAF2_MOUSE	Faf2 Kiaa0887 Ubxd8
Q8BJ71	NUP93_MOUSE	Nup93 Cip4 Kiaa0095
F6THK7	F6THK7_MOUSE	Irak1
F7AI27	F7AI27_MOUSE	Carmil1 Lrrc16a
P59110	SENP1_MOUSE	Senp1 Supr2
Q6Y7W8	GGYF2_MOUSE	Gigyf2 Kiaa0642 Perq2 Tnrc15
Q8CAQ8	MIC60_MOUSE	Immt Mic60
D6REF7	D6REF7_MOUSE	Sgpl1
F6SLP4	F6SLP4_MOUSE	Ergic1
Q8JZK9	HMCS1_MOUSE	Hmgcs1
Q8C156	CND2_MOUSE	Ncaph Brrn Brrn1 Caph
P17742	PPIA_MOUSE	Ppia
Q61235	SNTB2_MOUSE	Sntb2 Snt2b2
Q921F2	TADBP_MOUSE	Tardbp Tdp43
Q8BKZ9	ODPX_MOUSE	Pdhx
Q69ZS0	PZRN3_MOUSE	Pdzrn3 Kiaa1095 Semcap3
P62960	YBOX1_MOUSE	Ybx1 Msy-1 Msy1 Nsep1 Yb1
Q9D8E6	RL4_MOUSE	Rpl4
E9Q4Q2	E9Q4Q2_MOUSE	Sf1
Q6NV83	SR140_MOUSE	U2surp Sr140
A0A0R4J0V5	A0A0R4J0V5_MOUSE	Polr2a
A2AS45	A2AS45_MOUSE	Pkp4
Q9JIF7	COPB_MOUSE	Copb1 Copb
Q3TN15	Q3TN15_MOUSE	Nek7
Q9DBR1	XRN2_MOUSE	Xrn2 Dhm1
Q8BUJ9	LRP12_MOUSE	Lrp12
Q9QYJ0	DNJA2_MOUSE	Dnaja2
P63017	HSP7C_MOUSE	Hspa8 Hsc70 Hsc73
Q6ZWV7	RL35_MOUSE	Rpl35
P97465	DOK1_MOUSE	Dok1 Dok
O54774	AP3D1_MOUSE	Ap3d1 Ap3d
Q8R516	MIB2_MOUSE	Mib2 Skd
G5E924	G5E924_MOUSE	Hnrnpl
H7BX14	H7BX14_MOUSE	Tsen34
P11983	TCPA_MOUSE	Tcp1 Cct1 Ccta
H3BJU7	H3BJU7_MOUSE	Arhgef2
Q64133	AOFA_MOUSE	Maoa
P61027	RAB10_MOUSE	Rab10
Q5SSZ5	TENS3_MOUSE	Tns3 Tens1
Q99N57	RAF1_MOUSE	Raf1 Craf
A0A498WGK6	A0A498WGK6_MOUSE	Tm9sf3
Q8C570	RAE1L_MOUSE	Rae1 Mrnp41
Q9D8N0	EF1G_MOUSE	Eef1g
Q91UZ5	IMPA2_MOUSE	Impa2
P80317	TCPZ_MOUSE	Cct6a Cct6 Cctz Cctz1
B1ARD6	SLFN9_MOUSE	Slfn9
E9Q2I4	E9Q2I4_MOUSE	Mideas C130039O16Rik
Q9CQU3	RER1_MOUSE	Rer1
A0A2R8VHQ0	A0A2R8VHQ0_MOUSE	Tns2
Q9ESW4	AGK_MOUSE	Agk Mulk
Q9D1D4	TMEDA_MOUSE	Tmed10 Tmp21
Q9JKB3	YBOX3_MOUSE	Ybx3 Csda Msy4
A2AJ72	A2AJ72_MOUSE	Fubp3
P08113	ENPL_MOUSE	Hsp90b1 Grp94 Tra-1 Tra1
O88477	IF2B1_MOUSE	Igf2bp1 Vickz1
P52019	ERG1_MOUSE	Sqle Erg1
Q6NZL1	Q6NZL1_MOUSE	Dhx37
P47911	RL6_MOUSE	Rpl6
P80318	TCPG_MOUSE	Cct3 Cctg
O08583	THOC4_MOUSE	Alyref Aly Ref1 Refbp1 THOC4
P20029	BIP_MOUSE	Hspa5 Grp78
P27612	PLAP_MOUSE	Plaa Plap
P62315	SMD1_MOUSE	Snrpd1
Q9Z277	BAZ1B_MOUSE	Baz1b Wbscr9 Wstf
Q9CQR4	ACO13_MOUSE	Acot13 Them2
A2AFJ1	A2AFJ1_MOUSE	Rbbp7
Q80YQ2	MED23_MOUSE	Med23 Crsp3 Kiaa1216 Sur2
Q9D2Y4	MLKL_MOUSE	Mlkl
Q61584	FXR1_MOUSE	Fxr1 Fxr1h
P62918	RL8_MOUSE	Rpl8
Q8C2Q3	RBM14_MOUSE	Rbm14
D3Z3Y1	D3Z3Y1_MOUSE	Pigg
F6VYE2	F6VYE2_MOUSE	Zmym4
P62196	PRS8_MOUSE	Psmc5 Sug1
Q80U95	UBE3C_MOUSE	Ube3c Kiaa0010 Kiaa10
Q9CT10	RANB3_MOUSE	Ranbp3
A0A087WP74	A0A087WP74_MOUSE	Resf1 2810474O19Rik
Q8C2Q8	Q8C2Q8_MOUSE	Atp5c1
Q60668	HNRPD_MOUSE	Hnrnpd Auf1 Hnrpd
A0A0G2JG10	A0A0G2JG10_MOUSE	Dhx15
B2RY56	RBM25_MOUSE	Rbm25
Q5XJY5	COPD_MOUSE	Arcn1 Copd
P62754	RS6_MOUSE	Rps6
P14685	PSMD3_MOUSE	Psmd3 P91a Tstap91a
A2APB8	TPX2_MOUSE	Tpx2
F6YVP7	F6YVP7_MOUSE	Rps18-ps6 Gm10260 Gm17352
P70698	PYRG1_MOUSE	Ctps1 Ctps
Q3THK7	GUAA_MOUSE	Gmps
Q60952	CP250_MOUSE	Cep250 Cep2 Inmp
Q8BXQ2	PIGT_MOUSE	Pigt Ndap7
Q6ZWQ9	Q6ZWQ9_MOUSE	Myl12a 2900073G15Rik Gm49909 Myl12b
P62751	RL23A_MOUSE	Rpl23a
A2AUR7	A2AUR7_MOUSE	Rsu1
P27641	XRCC5_MOUSE	Xrcc5 G22p2
Q921K2	Q921K2_MOUSE	Parp1 Adprt1
A0A5K1VVQ1	A0A5K1VVQ1_MOUSE	Ttn
P42932	TCPQ_MOUSE	Cct8 Cctq
Q9R1J0	NSDHL_MOUSE	Nsdhl
Q6P9L6	KIF15_MOUSE	Kif15 Klp2 Knsl7
P80315	TCPD_MOUSE	Cct4 Cctd
A0A2I3BRT4	A0A2I3BRT4_MOUSE	
Q9QXE7	TBL1X_MOUSE	Tbl1x Tbl1
A0A494B8Y8	A0A494B8Y8_MOUSE	Yif1a
H3BJH5	H3BJH5_MOUSE	Cers5 Lass5
Q9DB25	ALG5_MOUSE	Alg5
P99027	RLA2_MOUSE	Rplp2
P97311	MCM6_MOUSE	Mcm6 Mcmd6 Mis5
Q9EPU0	RENT1_MOUSE	Upf1 Rent1
Q8N9S3	AHSA2_MOUSE	Ahsa2
Q8BHK9	ERC6L_MOUSE	Ercc6l
P81122	IRS2_MOUSE	Irs2
Q8K2D3	EDC3_MOUSE	Edc3 Yjdc
Q8BTI8	SRRM2_MOUSE	Srrm2 Kiaa0324
E9PYL2	PRR12_MOUSE	Prr12 Kiaa1205
J3QQ16	J3QQ16_MOUSE	Col6a3
A0A087WNV1	A0A087WNV1_MOUSE	Agfg1
P06151	LDHA_MOUSE	Ldha Ldh-1 Ldh1
F7B6X4	F7B6X4_MOUSE	Atxn2
Q80W68	KIRR1_MOUSE	Kirrel1 Kirrel Neph1
Q9QZL0	RIPK3_MOUSE	Ripk3 Rip3
P70404	IDHG1_MOUSE	Idh3g
Q8BHN3	GANAB_MOUSE	Ganab G2an Kiaa0088
P35550	FBRL_MOUSE	Fbl
Q9D1G1	RAB1B_MOUSE	Rab1b
Q8CFE4	SCYL2_MOUSE	Scyl2 Cvak104 D10Ertd802e
P11440	CDK1_MOUSE	Cdk1 Cdc2 Cdc2a Cdkn1
P03975	IGEB_MOUSE	Iap
Q60848	HELLS_MOUSE	Hells Lsh Pasg
B1AS46	B1AS46_MOUSE	Casz1
P59326	YTHD1_MOUSE	Ythdf1
Q91WD5	NDUS2_MOUSE	Ndufs2
Q9DAM7	TM263_MOUSE	Tmem263
Q80X50	UBP2L_MOUSE	Ubap2l
Q8VDD5	MYH9_MOUSE	Myh9
Q8C0I1	ADAS_MOUSE	Agps
O35593	PSDE_MOUSE	Psmd14 Pad1
P63037	DNJA1_MOUSE	Dnaja1 Dnaj2 Hsj2 Hspf4
A0A0R4J047	A0A0R4J047_MOUSE	Luc7l
Q9EP97	SENP3_MOUSE	Senp3 Smt3ip Smt3ip1
B1AXN9	B1AXN9_MOUSE	Rps6ka3
Q811U4	MFN1_MOUSE	Mfn1
Q9CQC7	NDUB4_MOUSE	Ndufb4
Q60854	SPB6_MOUSE	Serpinb6 Serpinb6a Spi3
A5D6P2	A5D6P2_MOUSE	Pard3
Q9CPN8	IF2B3_MOUSE	Igf2bp3 Vickz3
P62889	RL30_MOUSE	Rpl30
P97310	MCM2_MOUSE	Mcm2 Bm28 Cdcl1 Kiaa0030 Mcmd2
B1AXW5	B1AXW5_MOUSE	Prdx1
A0A0J9YUD5	A0A0J9YUD5_MOUSE	Nup205
O35704	SPTC1_MOUSE	Sptlc1 Lcb1
Q9DCN2	NB5R3_MOUSE	Cyb5r3 Dia1
Q7TSC1	PRC2A_MOUSE	Prrc2a Bat2
Q64310	SURF4_MOUSE	Surf4 Surf-4
Q9D0M3	CY1_MOUSE	Cyc1
Q8BPB5	FBLN3_MOUSE	Efemp1 Fbln3
Q8K2B3	SDHA_MOUSE	Sdha
Q60605	MYL6_MOUSE	Myl6 Myln
A6X919	D19L1_MOUSE	Dpy19l1
P51881	ADT2_MOUSE	Slc25a5 Aac2 Ant2
A0A0R4J0D3	A0A0R4J0D3_MOUSE	Stt3b
Q9D6Z1	NOP56_MOUSE	Nop56 Nol5a
P70372	ELAV1_MOUSE	Elavl1 Elra Hua
Q921I6	SH3B4_MOUSE	Sh3bp4
P62830	RL23_MOUSE	Rpl23
O35387	HAX1_MOUSE	Hax1 Hs1bp1
O35375	NRP2_MOUSE	Nrp2
A0A140T8R7	A0A140T8R7_MOUSE	Rcor1
Q6PB66	LPPRC_MOUSE	Lrpprc Lrp130
Q8R3K3	PTCD2_MOUSE	Ptcd2
Q8VDU0	GPSM2_MOUSE	Gpsm2 Lgn Pins
Q9CPQ3	TOM22_MOUSE	Tomm22 Tom22
P04627	ARAF_MOUSE	Araf A-raf Araf1
Q8R1K1	UBAC2_MOUSE	Ubac2 Phgdhl1
A2AN08	UBR4_MOUSE	Ubr4 Kiaa0462 Zubr1
Q9JLV1	BAG3_MOUSE	Bag3 Bis MNCb-2243
Q99LF4	RTCB_MOUSE	Rtcb D10Wsu52e
P10126	EF1A1_MOUSE	Eef1a1 Eef1a
A0A140T8I9	A0A140T8I9_MOUSE	Pi4ka
F8VPL2	F8VPL2_MOUSE	Pik3c2a
A0A494B9S9	A0A494B9S9_MOUSE	Sf3b2
P11087	CO1A1_MOUSE	Col1a1 Cola1
A0A1B0GSX7	A0A1B0GSX7_MOUSE	Nup98
E9QAT0	E9QAT0_MOUSE	Fmr1
P61089	UBE2N_MOUSE	Ube2n Blu
E9Q9N6	E9Q9N6_MOUSE	Mark2
A0A0R4J1Z3	A0A0R4J1Z3_MOUSE	Tmem33
F6RBR6	F6RBR6_MOUSE	Ndufa12
P16460	ASSY_MOUSE	Ass1 Ass
Q99K48	NONO_MOUSE	Nono
A0A1B0GQW0	A0A1B0GQW0_MOUSE	Kdelr1
Q8VHX6	FLNC_MOUSE	Flnc Abpl Fln2
O54946	DNJB6_MOUSE	Dnajb6 Hsj2 Mrj
Q6DFZ1	Q6DFZ1_MOUSE	Gbf1
Q5SV02	Q5SV02_MOUSE	Rad50
F8WGT2	F8WGT2_MOUSE	Tmem209
D3Z7P3	GLSK_MOUSE	Gls Gls1 Kiaa0838
P10639	THIO_MOUSE	Txn Txn1
Q99K90	TAB2_MOUSE	Tab2 Kiaa0733 Map3k7ip2
L7N236	L7N236_MOUSE	Gm15127
Q9Z204	HNRPC_MOUSE	Hnrnpc Hnrpc
Q3UA06	PCH2_MOUSE	Trip13 Pch2
P26645	MARCS_MOUSE	Marcks Macs
P97363	SPTC2_MOUSE	Sptlc2 Lcb2
Q9DBG7	SRPRA_MOUSE	Srpra Srpr
Q6DFX2	ANTR2_MOUSE	Antxr2
E9Q804	E9Q804_MOUSE	Ankrd17
Q9WUN2	TBK1_MOUSE	Tbk1
Q03265	ATPA_MOUSE	Atp5f1a Atp5a1
P27773	PDIA3_MOUSE	Pdia3 Erp Erp60 Grp58
Q61655	DD19A_MOUSE	Ddx19a Ddx19 Eif4a-rs1
Q9Z1D1	EIF3G_MOUSE	Eif3g Eif3p42 Eif3s4
Q8C170	MYO9A_MOUSE	Myo9a Myr7
P18760	COF1_MOUSE	Cfl1
P84084	ARF5_MOUSE	Arf5
E9Q0U7	E9Q0U7_MOUSE	Hsph1
Q9JLJ5	ELOV1_MOUSE	Elovl1 Ssc1
Q8BK64	AHSA1_MOUSE	Ahsa1
Q9Z0R9	FADS2_MOUSE	Fads2 Fadsd2
Q6P5B5	Q6P5B5_MOUSE	Fxr2 Fxr2h
Q8BRH0	TMTC3_MOUSE	Tmtc3
Q91ZW3	SMCA5_MOUSE	Smarca5 Snf2h
A0A2R8VHH1	A0A2R8VHH1_MOUSE	Nup155
Q9DBJ1	PGAM1_MOUSE	Pgam1
Q3KQM4	Q3KQM4_MOUSE	U2af2
Q7TNC4	LC7L2_MOUSE	Luc7l2
Q1W617	SHRM4_MOUSE	Shroom4 Kiaa1202
Q8K4F6	NSUN5_MOUSE	Nsun5 Wbscr20a
Q6P542	ABCF1_MOUSE	Abcf1
P31750	AKT1_MOUSE	Akt1 Akt Rac
Q60932	VDAC1_MOUSE	Vdac1 Vdac5
F8WHZ9	F8WHZ9_MOUSE	Add1
Q9DBR0	AKAP8_MOUSE	Akap8 Akap95
Q8VH51	RBM39_MOUSE	Rbm39 Caper Rnpc2
O70472	TM131_MOUSE	Tmem131 D1Bwg0491e Kiaa0257 Rw1
Q3TT92	Q3TT92_MOUSE	Dpysl3
Q8K2A1	GULP1_MOUSE	Gulp1 Ced6
Q3TMX0	Q3TMX0_MOUSE	Sdcbp
D3Z4B0	D3Z4B0_MOUSE	Srsf11
Q61753	SERA_MOUSE	Phgdh
Q99KU0	VMP1_MOUSE	Vmp1 Tmem49
A2AAE1	K1109_MOUSE	Kiaa1109 Fsa Kiaa1371
E9PVX6	KI67_MOUSE	Mki67
Q6ZPE2	MTMR5_MOUSE	Sbf1 Kiaa3020 Mtmr5
P63085	MK01_MOUSE	Mapk1 Erk2 Mapk Prkm1
D3YX14	D3YX14_MOUSE	Ddit3
A0A0J9YV86	A0A0J9YV86_MOUSE	Specc1
E9Q7N9	E9Q7N9_MOUSE	Dnah11 Dnahc11
Q2HXL6	EDEM3_MOUSE	Edem3
E9Q6K3	E9Q6K3_MOUSE	Pibf1
P32507	NECT2_MOUSE	Nectin2 Mph Pvr Pvrl2 Pvs
E9QA74	E9QA74_MOUSE	Myo18a
E9PZP8	E9PZP8_MOUSE	Herc1
Q3UQN2	FCHO2_MOUSE	Fcho2
D3Z5M4	D3Z5M4_MOUSE	Ank1
Q9QYE6	GOGA5_MOUSE	Golga5 Retii
O88492	PLIN4_MOUSE	Plin4 Kiaa1881
E9QP46	E9QP46_MOUSE	Syne2
Q9D9U9	Q9D9U9_MOUSE	Cfap45 Ccdc19 Nesg1
Q9CQ47	Q9CQ47_MOUSE	Spertl 4921530L21Rik
P23949	TISD_MOUSE	Zfp36l2 Tis11d
Q8R1P5	KCNKD_MOUSE	Kcnk13 Gm1570
Q8BS95	GPHR_MOUSE	Gpr89 Gphr Gpr89a
Q80W93	HYDIN_MOUSE	Hydin Hy3
O35646	CAN6_MOUSE	Capn6 Capa6
Q62312	TGFR2_MOUSE	Tgfbr2
K7N747	K7N747_MOUSE	Vmn2r109
Q811Q9	PCY1B_MOUSE	Pcyt1b
Q8BI55	DYRK4_MOUSE	Dyrk4
Q5SXA9	KIBRA_MOUSE	Wwc1 Kiaa0869
Q9WVF7	DPOE1_MOUSE	Pole Pole1
A0A286YCG4	A0A286YCG4_MOUSE	Acsl5
A0A571BET4	A0A571BET4_MOUSE	Sh3d19
P60867	RS20_MOUSE	Rps20
P61358	RL27_MOUSE	Rpl27
A0A0G2JGD2	A0A0G2JGD2_MOUSE	S100a4
Q9CZN7	GLYM_MOUSE	Shmt2
Q61881	MCM7_MOUSE	Mcm7 Cdc47 Mcmd7
F8VPZ3	F8VPZ3_MOUSE	Usp32
Q8BK67	RCC2_MOUSE	Rcc2 Kiaa1470
Q8BFV2	PCID2_MOUSE	Pcid2
Q8CES0	NAA30_MOUSE	Naa30 Mak3 Nat12
O35379	MRP1_MOUSE	Abcc1 Abcc1a Abcc1b Mdrap Mrp
A0A0R4J0Q4	A0A0R4J0Q4_MOUSE	Loxl1
A0A1N9PTV1	A0A1N9PTV1_MOUSE	Fbrs
Q8CE33	KLH11_MOUSE	Klhl11
Q11011	PSA_MOUSE	Npepps Psa
A0A0R4J0I4	A0A0R4J0I4_MOUSE	Chtf18
Q01320	TOP2A_MOUSE	Top2a Top-2 Top2
P50516	VATA_MOUSE	Atp6v1a Atp6a1 Atp6a2 Atp6v1a1
A0A171EBL2	A0A171EBL2_MOUSE	Rnf213
Q01149	CO1A2_MOUSE	Col1a2 Cola2
F7CVW0	F7CVW0_MOUSE	Sbno1
P26041	MOES_MOUSE	Msn
A0A1B0GRU8	A0A1B0GRU8_MOUSE	Prpf40a
A0A0R3P9C8	A0A0R3P9C8_MOUSE	Ndufa9
Q8CGZ0	CHERP_MOUSE	Cherp Scaf6
P20152	VIME_MOUSE	Vim
Q99KL7	RAB28_MOUSE	Rab28
Q8R2V2	IFFO2_MOUSE	Iffo2
Q9CXY6	ILF2_MOUSE	Ilf2 Nf45
A2AWT6	A2AWT6_MOUSE	Ubtf
Q6DFV3	RHG21_MOUSE	Arhgap21 Arhgap10 Kiaa1424
Q80X90	FLNB_MOUSE	Flnb
F8VQ29	F8VQ29_MOUSE	Iqgap3
Q3U3C9	GSE1_MOUSE	Gse1 Kiaa0182
G3UX26	G3UX26_MOUSE	Vdac2
Q922R8	PDIA6_MOUSE	Pdia6 Txndc7
Q8CD26	S35E1_MOUSE	Slc35e1
O70475	UGDH_MOUSE	Ugdh
Q569L8	CENPJ_MOUSE	Cenpj
Q9D024	CCD47_MOUSE	Ccdc47 Asp4
Q91YI6	GLD2_MOUSE	Tent2 Gld2 Papd4
P32067	LA_MOUSE	Ssb Ss-b
O54833	CSK22_MOUSE	Csnk2a2
A2AQD6	A2AQD6_MOUSE	Itprid2 Ssfa2
Q3TSM1	Q3TSM1_MOUSE	Sun1 Unc84a
Q3UFS0	ZY11B_MOUSE	Zyg11b Kiaa1730
Q8BYL4	SYYM_MOUSE	Yars2
Q8BGA9	OXA1L_MOUSE	Oxa1l
Q62210	BIRC2_MOUSE	Birc2
Q9WVD5	ORNT1_MOUSE	Slc25a15 Ornt1
P15919	RAG1_MOUSE	Rag1
A0A0J9YV01	A0A0J9YV01_MOUSE	Zeb2
F6YZU5	F6YZU5_MOUSE	Dlg5
Q6IR34	GPSM1_MOUSE	Gpsm1 Ags3 C10a
Q3TWW8	SRSF6_MOUSE	Srsf6 Sfrs6 Srp55
Q61937	NPM_MOUSE	Npm1
O88569	ROA2_MOUSE	Hnrnpa2b1 Hnrpa2b1
A0A494BAX5	A0A494BAX5_MOUSE	Nars
Q91ZN5	S35B2_MOUSE	Slc35b2 J207 Papst1
Q64378	FKBP5_MOUSE	Fkbp5 Fkbp51
Q99JF8	PSIP1_MOUSE	Psip1 Ledgf
Q8R1X6	SPART_MOUSE	Spart Kiaa0610 Spg20
Q9R0E2	PLOD1_MOUSE	Plod1 Plod
L0N7N1	KIF14_MOUSE	Kif14
A2AFI3	A2AFI3_MOUSE	Rbmx
E9Q3G8	E9Q3G8_MOUSE	Nup153
P97742	CPT1A_MOUSE	Cpt1a Cpt-1 Cpt1
P10404	ENV1_MOUSE	
Q6ZQ88	KDM1A_MOUSE	Kdm1a Aof2 Kiaa0601 Lsd1
Q80TN5	ZDH17_MOUSE	Zdhhc17 Hip14 Kiaa0946
A2A5R8	A2A5R8_MOUSE	Stau1
Q99LC3	NDUAA_MOUSE	Ndufa10
D3YY73	D3YY73_MOUSE	Sap18
Q5XKN4	JAGN1_MOUSE	Jagn1
Q8K1A5	TM41B_MOUSE	Tmem41b D7Ertd743e Kiaa0033
P70670	NACAM_MOUSE	Naca Gm1878
Q9EQP2	EHD4_MOUSE	Ehd4 Past2
Q4ZGD9	Q4ZGD9_MOUSE	Nxf3 NXF3
F6UFZ5	F6UFZ5_MOUSE	Pcf11
Q9QYB5	ADDG_MOUSE	Add3 Addl
P13864	DNMT1_MOUSE	Dnmt1 Dnmt Met1 Uim
E0CZ22	E0CZ22_MOUSE	Mroh1 Heatr7a
Q8BND3	WDR35_MOUSE	Wdr35
Q8K1N4	SPAS2_MOUSE	Spats2 Scr59
A0A0N4SV32	A0A0N4SV32_MOUSE	Serbp1
Q66GT5	PTPM1_MOUSE	Ptpmt1 Plip
Q8K297	GT251_MOUSE	Colgalt1 Glt25d1
P32921	SYWC_MOUSE	Wars1 Wars Wrs
P80313	TCPH_MOUSE	Cct7 Ccth
A0A494BBD8	A0A494BBD8_MOUSE	Anxa1
A0A0R4J233	A0A0R4J233_MOUSE	Septin10 Sept10
B2RX88	CSPP1_MOUSE	Cspp1 Cspp
Q9WTX5	SKP1_MOUSE	Skp1 Skp1a
Q61024	ASNS_MOUSE	Asns
P61924	COPZ1_MOUSE	Copz1 Copz
O35648	CETN3_MOUSE	Cetn3 Cen3
Q8VEE4	RFA1_MOUSE	Rpa1
Q9D0J4	ARL2_MOUSE	Arl2
Q9WUP4	PORED_MOUSE	Srd5a3 Srd5a2l
Q7TNV0	DEK_MOUSE	Dek
A0A2R8VHP9	A0A2R8VHP9_MOUSE	Pcbp2
Q9Z1Q5	CLIC1_MOUSE	Clic1
P26638	SYSC_MOUSE	Sars1 Sars Sers
P70296	PEBP1_MOUSE	Pebp1 Pbp Pebp
P54775	PRS6B_MOUSE	Psmc4 Tbp7
