Entry	Entry name	Gene names
Q9D1I6	RM14_MOUSE	Mrpl14
P13011	SCD2_MOUSE	Scd2
Q8BMF4	ODP2_MOUSE	Dlat
D3YV17	D3YV17_MOUSE	Tnrc18
Q61598	GDIB_MOUSE	Gdi2 Gdi3
Q60760	GRB10_MOUSE	Grb10 Meg1
Q9ESL4	M3K20_MOUSE	Map3k20 Mltk Zak
Q7TPV4	MBB1A_MOUSE	Mybbp1a P160
Q8BHL5	ELMO2_MOUSE	Elmo2 Kiaa1834
P63038	CH60_MOUSE	Hspd1 Hsp60
Q9D0E1	HNRPM_MOUSE	Hnrnpm Hnrpm
Q9D7S7	RL22L_MOUSE	Rpl22l1
P35278	RAB5C_MOUSE	Rab5c
Q61553	FSCN1_MOUSE	Fscn1 Fan1 Snl
Q6ZWZ4	Q6ZWZ4_MOUSE	Rpl36
E9QK89	E9QK89_MOUSE	Mdc1
A0A0G2JDV8	A0A0G2JDV8_MOUSE	Cnn3
Q5SUF2	LC7L3_MOUSE	Luc7l3 Crop
Q91ZD4	VANG2_MOUSE	Vangl2 Lpp1 Ltap
Q9CXW4	RL11_MOUSE	Rpl11
Q8C6L5	CGAS_MOUSE	Cgas Mb21d1
Q9R008	KIME_MOUSE	Mvk
Q3U3K9	Q3U3K9_MOUSE	Aup1
P35288	RAB23_MOUSE	Rab23 Opb
Q9JIK5	DDX21_MOUSE	Ddx21
Q8VDN2	AT1A1_MOUSE	Atp1a1
P62900	RL31_MOUSE	Rpl31
Q3UEB3	PUF60_MOUSE	Puf60
Q9D1M0	SEC13_MOUSE	Sec13 Sec13l1
P48962	ADT1_MOUSE	Slc25a4 Aac1 Anc1 Ant1
Q9D2R0	AACS_MOUSE	Aacs
Q8JZQ2	AFG32_MOUSE	Afg3l2
P97929	BRCA2_MOUSE	Brca2 Fancd1
Q5SF07	IF2B2_MOUSE	Igf2bp2 Imp2 Vickz2
Q8BL06	UBP54_MOUSE	Usp54
Q9CXY9	GPI8_MOUSE	Pigk
Q61316	HSP74_MOUSE	Hspa4 Apg2 Hsp110
Q9Z2N8	ACL6A_MOUSE	Actl6a Actl6 Baf53a
Q9EQH3	VPS35_MOUSE	Vps35 Mem3
Q9CQD1	RAB5A_MOUSE	Rab5a nnyRab5a
P48760	FOLC_MOUSE	Fpgs
P09602	HMGN2_MOUSE	Hmgn2 Hmg-17 Hmg17
Q5FWX7	Q5FWX7_MOUSE	Osbpl9
Q8C4J7	TBL3_MOUSE	Tbl3
Q3TF41	Q3TF41_MOUSE	Nap1l1
O54734	OST48_MOUSE	Ddost
A0A0R4J146	A0A0R4J146_MOUSE	Nt5c3b
Q99J95	CDK9_MOUSE	Cdk9
P14131	RS16_MOUSE	Rps16
A0A494BB51	A0A494BB51_MOUSE	Lzts2
E0CYM1	E0CYM1_MOUSE	Filip1l
Q9JJI8	RL38_MOUSE	Rpl38
Q8VIJ6	SFPQ_MOUSE	Sfpq Psf
A2AL12	A2AL12_MOUSE	Hnrnpa3
B1AZ15	B1AZ15_MOUSE	Cobll1
P49312	ROA1_MOUSE	Hnrnpa1 Fli-2 Hnrpa1 Tis
Q99K30	ES8L2_MOUSE	Eps8l2 Eps8r2
O35691	PININ_MOUSE	Pnn
Q2YDW2	MSTO1_MOUSE	Msto1
Q8VHR5	P66B_MOUSE	Gatad2b
P38647	GRP75_MOUSE	Hspa9 Grp75 Hsp74 Hspa9a
Q99L48	NMD3_MOUSE	Nmd3
Q9D880	TIM50_MOUSE	Timm50 Tim50
Q9D2V8	MFS10_MOUSE	Mfsd10 Tetran
Q61696	HS71A_MOUSE	Hspa1a Hsp70-3 Hsp70A1
P23506	PIMT_MOUSE	Pcmt1
Q9R1Q6	T176B_MOUSE	Tmem176b Clast1 Lr8
Q80ZJ2	Q80ZJ2_MOUSE	Impa1
Q8K212	PACS1_MOUSE	Pacs1
Q9Z2B9	KS6A4_MOUSE	Rps6ka4 Msk2
P53986	MOT1_MOUSE	Slc16a1 Mct1
Q8R570	SNP47_MOUSE	Snap47
Q8BYK6	YTHD3_MOUSE	Ythdf3
F8VPU2	FARP1_MOUSE	Farp1
Q8K268	ABCF3_MOUSE	Abcf3
Q62318	TIF1B_MOUSE	Trim28 Kap1 Krip1 Tif1b
Q9R0E1	PLOD3_MOUSE	Plod3
G3XA17	G3XA17_MOUSE	Eif4g2
A0A2R8W710	A0A2R8W710_MOUSE	Recql4
Q91YM4	FAKD4_MOUSE	Tbrg4 Kiaa0948
Q78PY7	SND1_MOUSE	Snd1
Q61990	PCBP2_MOUSE	Pcbp2 Cbp Hnrnpx Hnrpx
P35980	RL18_MOUSE	Rpl18
Q3UPL0	SC31A_MOUSE	Sec31a Sec31l1
Q9D883	U2AF1_MOUSE	U2af1
Q922Q4	P5CR2_MOUSE	Pycr2
P70227	ITPR3_MOUSE	Itpr3
P60122	RUVB1_MOUSE	Ruvbl1 Tip49 Tip49a
Q80UY2	KCMF1_MOUSE	Kcmf1 Debt91
B1AUY9	B1AUY9_MOUSE	Naa10
Q8K310	MATR3_MOUSE	Matr3
Q6ZPU9	KBP_MOUSE	Kifbp Kbp Kiaa1279 Kif1bp
Q91VI7	RINI_MOUSE	Rnh1 Rnh
Q0GNC1	INF2_MOUSE	Inf2
Q8C854	MYEF2_MOUSE	Myef2 Kiaa1341 Mef2
Q8R2U7	LRC42_MOUSE	Lrrc42
Q8C3F2	F120C_MOUSE	Fam120c ORF34
P84104	SRSF3_MOUSE	Srsf3 Sfrs3 Srp20 X16
G3X8Y3	G3X8Y3_MOUSE	Naa15
P61022	CHP1_MOUSE	Chp1 Chp Sid470
A0A0R4J0W6	A0A0R4J0W6_MOUSE	Lrrc40
D3Z158	D3Z158_MOUSE	Qars
Q64727	VINC_MOUSE	Vcl
A0A0A6YXE3	A0A0A6YXE3_MOUSE	Mbnl1
P52293	IMA1_MOUSE	Kpna2 Rch1
Q5I1X5	IASPP_MOUSE	Ppp1r13l Nkip1
A0A0R4J1N8	A0A0R4J1N8_MOUSE	Rdh13
Q5RJH6	SMG7_MOUSE	Smg7 Est1c Kiaa0250
Q9Z127	LAT1_MOUSE	Slc7a5 Lat1
Q5SS80	DHR13_MOUSE	Dhrs13 Sdr7c5
F8VQ11	F8VQ11_MOUSE	Arhgap23
Q8R1F1	NIBA2_MOUSE	Niban2 Fam129b
A0A0R4J268	A0A0R4J268_MOUSE	Osmr
Q925I1	ATAD3_MOUSE	Atad3 Atad3a Kiaa1273
D3Z0Y2	D3Z0Y2_MOUSE	Prdx6
B9EHJ3	B9EHJ3_MOUSE	Tjp1
O88554	PARP2_MOUSE	Parp2 Adprt2 Adprtl2 Aspartl2
O35126	ATN1_MOUSE	Atn1 Drpla
J9RV59	J9RV59_MOUSE	Slc4a7
E9PWB1	E9PWB1_MOUSE	Phldb1
Q9CQR6	PPP6_MOUSE	Ppp6c
Q9D892	ITPA_MOUSE	Itpa
E9QA63	E9QA63_MOUSE	Macf1
Q9CQN1	TRAP1_MOUSE	Trap1 Hsp75
P62267	RS23_MOUSE	Rps23
Q61656	DDX5_MOUSE	Ddx5 Tnz2
Q4VBD2	TAPT1_MOUSE	Tapt1
Q8CDJ8	STON1_MOUSE	Ston1 Salf Sblf Stn1
Q6NZR5	Q6NZR5_MOUSE	Skiv2l
P46935	NEDD4_MOUSE	Nedd4 Kiaa0093 Nedd-4 Nedd4-1 Nedd4a
O09110	MP2K3_MOUSE	Map2k3 Mkk3 Prkmk3
P28653	PGS1_MOUSE	Bgn
Q9JHU4	DYHC1_MOUSE	Dync1h1 Dhc1 Dnch1 Dnchc1 Dyhc
Q9DC70	NDUS7_MOUSE	Ndufs7
Q91V89	Q91V89_MOUSE	Ppp2r5d
Q60598	SRC8_MOUSE	Cttn Ems1
Q91W98	S15A4_MOUSE	Slc15a4 Pht1
P83887	TBG1_MOUSE	Tubg1 Tubg
A0A1L1SSV8	A0A1L1SSV8_MOUSE	Taok2
